年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2024,暑假,酒店住宿,三亚亚特兰蒂斯入住率,89.6,%,百分比,2024-07-01~2024-08-31,7-8月合计,复星旅文财报口径,酒店间夜,待核,实际,同比,62,增长率,2026-08-21,,复星旅文(2024H1财报),2024年上半年财报,2024-08,C,https://www.sohu.com/a/804738155_114988,同比+3pct;客房ADR 2044元
2024,暑假,酒店住宿,三亚亚特兰蒂斯客房ADR,2044,元,元/间夜,2024-07-01~2024-08-31,7-8月合计,复星旅文财报口径,酒店ADR,待核,实际,无(水平值),62,水平值,2026-08-21,,复星旅文(2024H1财报),2024年上半年财报,2024-08,C,https://www.sohu.com/a/804738155_114988,高端度假酒店价格标杆
2024,暑假,酒店住宿,三线以下城市酒店经营指标增长前十占比,90,%,水平值,2024-07-01~2024-08-31,7-8月合计,尚美数智酒店集团口径,酒店间夜,待核,实际,无(水平值),62,水平值,2026-08-21,,尚美数智酒店集团,暑期数据,2024-08,C,https://www.toutiao.com/article/7407655600668017204/,经营指标增长前十中三线以下城市占90%;宁夏吴忠OCC同比+62.2pct全国第一
2024,暑假,酒店住宿,中星酒店平均价格同比,-8,%,增长率,2024-07-01~2024-08-31,7-8月合计,去哪儿大数据口径,酒店ADR,平台自披露,实际,同比,62,增长率,2026-08-21,,去哪儿大数据,暑期酒店价格分析,2024-08-27,C,https://www.toutiao.com/article/7407655600668017204/,国际机票-22%、国际酒店-24%;该平台自身口径
2024,暑假,酒店住宿,全国酒店平均ADR,216.68,元,元/间夜,2024-07-01~2024-08-31,7-8月合计,酒店行业跟踪口径,酒店RevPAR,行业协会计,实际,同比,62,增长率,2026-08-21,,中信证券(酒店数据跟踪),2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,暑期7-8月;同比-5.3%
2024,暑假,酒店住宿,全国酒店平均OCC,65.69,%,百分比,2024-07-01~2024-08-31,7-8月合计,酒店行业跟踪口径,酒店间夜,行业协会计,实际,同比,62,增长率,2026-08-21,,中信证券(酒店数据跟踪),2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,同比+0.4pct
2024,暑假,酒店住宿,全国酒店平均RevPAR,142.71,元,元/间夜,2024-07-01~2024-08-31,7-8月合计,酒店行业跟踪口径,酒店RevPAR,行业协会计,实际,同比,62,增长率,2026-08-21,,中信证券(酒店数据跟踪),2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,同比-4.8%;间夜需求约+6.2%
2024,暑假,酒店住宿,全国酒店间夜需求同比,6.2,%,增长率,2024-07-01~2024-08-31,7-8月合计,酒店行业跟踪口径,酒店间夜,行业协会计,实际,同比,62,增长率,2026-08-21,,中信证券(酒店数据跟踪),2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,约+6.2%;量增价跌
2024,暑假,酒店住宿,北京高星级酒店暑期入住率,80,%,百分比,2024-07-01~2024-08-31,7-8月合计,多家高星酒店监测口径,酒店间夜,待核,实际,无(水平值),62,水平值,2026-08-21,,多家北京高星酒店(中国网),暑期北京住宿市场,2024-07-16,B,https://www.toutiao.com/article/7392043294383030784/,约80%(去年同期85%以上);市场理性回落
2024,十一,交通出行,全社会跨区域人员流动量,20.03,亿人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均28618.7万
2024,十一,交通出行,公路人员流动量,184616,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均26373.7万
2024,十一,交通出行,公路小客车出行量,158541,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,占公路人员流动量85.9%;+3.8%;较2019+55.8%
2024,十一,交通出行,民航客运量,1609.6,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,民航客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均229.9万
2024,十一,交通出行,民航客运量日均,229.9,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,民航客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,较2023日均+11.1%
2024,十一,交通出行,水路客运量,980.1,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,水路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均140万
2024,十一,交通出行,跨区域人员流动量日均,28618.7,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,官方发布的日均值;较2023日均+3.9%
2024,十一,交通出行,边检出入境人员,1309.8,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方边检,实际,同比,7,水平值,2026-08-21,,国家移民管理局,国庆节期间1309.8万人次出入境,2024-10-08,A,https://www.nia.gov.cn/n897453/c1677123/content.html,同比增长25.8%;出入境双向奔赴;与文旅部旅游口径入出境人数不同
2024,十一,交通出行,边检出入境人员日均(测算),187.1,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由边检数据派生,2026-08-21,D,https://www.nia.gov.cn/n897453/c1677123/content.html,=1309.8/7;D级推算
2024,十一,交通出行,铁路单日客流峰值(10/1),2144.8,万人次,人次,2024-10-01,单日,国铁单日口径,铁路客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2026-08-21,,中国国家铁路集团(新华社),铁路国庆黄金周运输,2024-10-09,A,https://news.cctv.com/2024/10/09/ARTI2lNhHEeE6QAKEjUqVpiA241009.shtml,10月1日单日创历史新高
2024,十一,交通出行,铁路国庆黄金周累计发送旅客,1.77,亿人次,人次,2024-09-29 至 2024-10-08,10天,国铁10天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,累计(窗口内),7,水平值,2026-08-21,,中国国家铁路集团(新华社),铁路国庆黄金周运输,2024-10-09,A,https://news.cctv.com/2024/10/09/ARTI2lNhHEeE6QAKEjUqVpiA241009.shtml,9/29-10/8共10天;日均1773.9万;10/1单日2144.8万创历史新高;与交通运输部7天口径(1.31亿)为双口径并列
2024,十一,交通出行,铁路客运量,13125.1,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均1875万
2024,十一,交通出行,铁路客运量日均,1875,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,较2023日均+6.3%
2024,十一,平台渠道,去哪儿三线及以下城市出境游订单同比,近3倍,倍,指数,2024-10-01 至 2024-10-07,7天,去哪儿自披露口径,平台GMV,平台自披露,实际,同比,7,指数,2026-08-21,,去哪儿(中青网转引),平台数据,2024-10-07,C,https://tour.youth.cn/xw/202410/t20241012_15574897.htm,该平台自身口径
2024,十一,平台渠道,去哪儿县域高星酒店预订增幅,五成,%,增长率,2024-10-01 至 2024-10-07,7天,去哪儿自披露口径,酒店间夜,平台自披露,实际,无(水平值),7,增长率,2026-08-21,,去哪儿(中青网转引),平台数据,2024-10-07,C,https://tour.youth.cn/xw/202410/t20241012_15574897.htm,三线及以下城市出境游订单+近3倍;该平台自身口径
2024,十一,平台渠道,同程三线及以下城市用车预订同比,50,%,增长率,2024-10-01 至 2024-10-07,7天,同程自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,同程旅行(新浪财经转引),2024十一假期旅行消费报告,2024-10-07,C,https://finance.sina.com.cn/roll/2024-10-07/doc-incrttzr4820983.shtml,该平台自身口径
2024,十一,平台渠道,同程县域酒店预订涨幅超50%的县城数,近百,个,水平值,2024-10-01 至 2024-10-07,7天,同程自披露口径,酒店间夜,平台自披露,实际,无(水平值),7,水平值,2026-08-21,,同程旅行(新浪财经转引),2024十一假期旅行消费报告,2024-10-07,C,https://finance.sina.com.cn/roll/2024-10-07/doc-incrttzr4820983.shtml,三线及以下城市用车预订+50%;该平台自身口径
2024,十一,平台渠道,携程入境游日均人次增速,近80,%,增长率,2024-10-01 至 2024-10-07,7天,携程自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,携程(经济参考报),2024年国庆旅游消费报告,2024-10-07,C,http://jjckb.xinhuanet.com/20241007/9e38ae79b9794ca48be0ee24205f431b/c.html,超50%外国旅客停留>7天;日均订单超2019;该平台自身口径
2024,十一,平台渠道,携程出入境游订单,创新高,定性,定性,2024-10-01 至 2024-10-07,7天,携程自披露口径,平台GMV,平台自披露,实际,无(水平值),7,定性,2026-08-21,,携程(澎湃新闻),携程十一旅游报告,2024-10-07,C,https://m.thepaper.cn/newsDetail_forward_28984556,出入境游订单超2019同期;该平台自身口径
2024,十一,平台渠道,携程四线城市日均出境游订单,1,倍,指数,2024-10-01 至 2024-10-07,7天,携程自披露口径,平台GMV,平台自披露,实际,同比,7,指数,2026-08-21,,携程(经济参考报),2024年国庆旅游消费报告,2024-10-07,C,http://jjckb.xinhuanet.com/20241007/9e38ae79b9794ca48be0ee24205f431b/c.html,四线+1倍/五线+3倍;出境游下沉市场新增长点;该平台自身口径
2024,十一,平台渠道,木鸟大同民宿订单同比,210,%,增长率,2024-10-01 至 2024-10-07,7天,木鸟自披露口径,酒店间夜,平台自披露,实际,同比,7,增长率,2026-08-21,,木鸟民宿(新京报转引),2024国庆假期民宿消费报告,2024-10-08,C,https://m.bjnews.com.cn/detail/1728390922168364.html,黑神话取景地带动;该平台自身口径
2024,十一,平台渠道,木鸟景德镇民宿订单同比,540,%,增长率,2024-10-01 至 2024-10-07,7天,木鸟自披露口径,酒店间夜,平台自披露,实际,同比,7,增长率,2026-08-21,,木鸟民宿(新京报转引),2024国庆假期民宿消费报告,2024-10-08,C,https://m.bjnews.com.cn/detail/1728390922168364.html,该平台自身口径
2024,十一,平台渠道,木鸟民宿热门城市订单同比,30以上,%,增长率,2024-10-01 至 2024-10-07,7天,木鸟自披露口径,酒店间夜,平台自披露,实际,同比,7,增长率,2026-08-21,,木鸟民宿(新京报转引),2024国庆假期民宿消费报告,2024-10-08,C,https://m.bjnews.com.cn/detail/1728390922168364.html,北京/西安/苏州+30%以上;大同+210%/景德镇+540%;该平台自身口径
2024,十一,平台渠道,美团全国生活服务到店消费同比,41.2,%,增长率,2024-10-01 至 2024-10-07,7天,美团自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,美团(新浪财经转引),美团十一数据,2024-10-06,C,https://cj.sina.com.cn/articles/view/1644114654/61ff32de02001v5qe,游客日均消费增七成;该平台自身口径
2024,十一,平台渠道,美团夜间时段消费(较2023假期),44.8,个百分点,百分比,2024-10-01 至 2024-10-07,7天,美团自披露口径,平台GMV,平台自披露,实际,较2023,7,水平值,2026-08-21,,美团(人民日报转引),国庆消费数据,2024-10-09,C,https://cpc.people.com.cn/BIG5/n1/2024/1009/c64387-40335167.html,餐饮堂食前5天日均+33.4%;该平台自身口径
2024,十一,平台渠道,美团餐饮堂食前5天日均同比,33.4,%,增长率,2024-10-01 至 2024-10-05,5天,美团自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,美团(人民日报转引),国庆消费数据,2024-10-09,C,https://cpc.people.com.cn/BIG5/n1/2024/1009/c64387-40335167.html,前5天日均+33.4%;该平台自身口径
2024,十一,平台渠道,途家县域民宿预订量同比,超五成,%,增长率,2024-10-01 至 2024-10-07,7天,途家自披露口径,酒店间夜,平台自披露,实际,无(水平值),7,增长率,2026-08-21,,途家民宿(新京报转引),平台数据,2024-10-08,C,https://m.bjnews.com.cn/detail/1728390922168364.html,覆盖1393县;四川九寨沟县+1.8倍;该平台自身口径
2024,十一,平台渠道,飞猪出境游预订量同比,超50,%,增长率,2024-10-01 至 2024-10-07,7天,飞猪自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,飞猪(经济参考报),2024国庆假期出游快报,2024-10-07,C,http://jjckb.xinhuanet.com/20241007/9e38ae79b9794ca48be0ee24205f431b/c.html,国际酒店恢复至2019约120%;该平台自身口径
2024,十一,平台渠道,飞猪国内高星酒店预订量同比,近40,%,增长率,2024-10-01 至 2024-10-07,7天,飞猪自披露口径,酒店间夜,平台自披露,实际,同比,7,增长率,2026-08-21,,飞猪(经济参考报),2024国庆假期出游快报,2024-10-07,C,http://jjckb.xinhuanet.com/20241007/9e38ae79b9794ca48be0ee24205f431b/c.html,出境游+超50%;国际酒店恢复至2019约120%;该平台自身口径
2024,十一,平台渠道,飞猪机票/酒店均价同比,-13/-6,%,复合,2024-10-01 至 2024-10-07,7天,飞猪自披露口径,平台GMV,平台自披露,实际,同比,7,复合,2026-08-21,,飞猪(经济参考报),2024国庆假期出游快报,2024-10-07,C,http://jjckb.xinhuanet.com/20241007/9e38ae79b9794ca48be0ee24205f431b/c.html,机票-13%/酒店-6%;国际机票/酒店-19%/-3%;性价比特征;该平台自身口径
2024,十一,总体,人均出游消费(测算),916.1,元,人均trip,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由文旅部数据派生,2026-08-21,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,=7008.17亿/7.65亿;2023年8天口径约912元
2024,十一,总体,人均每日消费(测算),130.9,元,人均day,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由文旅部数据派生,2026-08-21,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,=7008.17亿/7.65亿/7天;per-day人均
2024,十一,总体,全国非遗传承实践活动场次,近3900,场,场,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,定性,2026-08-21,,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,约数
2024,十一,总体,出游人次日均(测算),1.09,亿人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,官方总量,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由文旅部数据派生,2026-08-21,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,=7.65/7;2023年8天口径日均1.03亿/天;D级推算
2024,十一,总体,出游总花费日均(测算),1001.17,亿元/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由文旅部数据派生,2026-08-21,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,=7008.17/7;2023年8天口径日均941.79亿/天;D级推算
2024,十一,总体,国内旅游出游人次,7.65,亿人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,官方总量,官方总量,实际,同比,7,水平值,2026-08-21,,文化和旅游部数据中心,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,同比+5.9%;较2019同期+10.2%;2023年为8天合并口径(8.26亿)
2024,十一,总体,国内旅游出游人次,60,亿人次,人次,2025-01-01 至 2025-12-31 预测,2025全年预测,预测口径v1.0,官方总量,预计,预计,同比,365,水平值,2026-08-21,预判待回填,本报告预测台账,2025全年国内出游人次预测,2026-08-21,D,无URL(预测台账),预测ID=2024十一-F03;中心值60亿;区间57-63亿;置信度中低;全年口径;系由十一per-day反推
2024,十一,总体,国内旅游出游人次,5.2,亿人次,人次,2025-01-28 至 2025-02-04 预测,2025春节8天口径预测,预测口径v1.0,官方总量,预计,预计,同比,8,水平值,2026-08-21,预判待回填,本报告预测台账,2025春节出游人次预测,2026-08-21,D,无URL(预测台账),预测ID=2024十一-F01;中心值5.2亿;区间5.0-5.4亿;置信度中;D级预计非实测;须per-day折算后回看
2024,十一,总体,国内游客出游总花费,7008.17,亿元,亿元,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,官方总量,实际,同比,7,水平值,2026-08-21,,文化和旅游部数据中心,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,同比+6.3%;较2019同期+7.9%;与商务部社零口径分列不可相加
2024,十一,总体,国内游客出游总花费,6700,亿元,亿元,2025-01-28 至 2025-02-04 预测,2025春节8天口径预测,预测口径v1.0,旅游总花费,预计,预计,同比,8,水平值,2026-08-21,预判待回填,本报告预测台账,2025春节出游总花费预测,2026-08-21,D,无URL(预测台账),预测ID=2024十一-F02;中心值6700亿;区间6500-6900亿;置信度中;须per-day折算后比较
2024,十一,总体,国家级夜间文旅消费集聚区夜间客流量,9686.23,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,较2023,7,水平值,2026-08-21,,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,按可比口径每夜较2023+25.4%
2024,十一,总体,营业性演出场次,4.43,万场次,场,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,同比+14.5%
2024,十一,总体,营业性演出票房收入,22.09,亿元,亿元,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,官方总量,官方总量,实际,同比,7,水平值,2026-08-21,,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,同比+25.9%
2024,十一,总体,营业性演出观演人数,1169.7,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202410/t20241008_955599.html,同比+13.3%
2024,十一,新消费,山西古建游景区门票订单同比,59,%,增长率,2024-10-01 至 2024-10-07,7天,携程自披露口径,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,携程(新华网山西频道转引),携程数据:国庆期间山西景区门票订单量同比增59%,2024-10-08,C,http://www.sx.xinhuanet.com/20241008/15a3323fca1f4255bb88fe382295ff71/c.html,黑神话悟空取景地带动古建游;该平台自身口径
2024,十一,新消费,红色旅游经典景区日均订单同比,70,%,增长率,2024-10-01 至 2024-10-07,7天,网络平台数据口径,平台GMV,待核,实际,同比,7,增长率,2026-08-21,,网络平台数据(中新网转引),国庆红色旅游,2024-10-08,B,https://m.chinanews.com/wap/detail/cht/zw/10298972.shtml,爱国氛围叠加出游热情
2024,十一,旅行社,全国旅行社行业订单总量,本期暂无权威公开数据,—,定性,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,平台GMV,待核,实际,无(水平值),7,定性,2026-08-21,全国总量缺项,无公开权威来源,本期无公开数据,2024-10,D,无公开URL,行业订单量无权威披露;仅平台/单企结构数据可用
2024,十一,旅行社,山东康辉出境散客收客同比,约30,%,增长率,2024-10-01 至 2024-10-07,7天,旅行社企业自披露,平台GMV,平台自披露,实际,同比,7,增长率,2026-08-21,,山东康辉旅游(齐鲁壹点转引),国庆旅行社数据,2024-10-08,C,https://www.toutiao.com/article/7423323182779662867/,团队游同比更高;整体恢复至2019六七成;港澳/游轮/东南亚/日本百人单团
2024,十一,景区目的地,上海接待游客,1862.25,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,上海市文化和旅游局(成都广电转引),上海国庆文旅数据,2024-10-08,B,https://www.cditv.cn/show/4813-1948646.html,全要素旅游消费269.19亿(+4.60%)
2024,十一,景区目的地,全国博物馆接待观众,7488,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,国家文物局(中新网转引),国庆假期博物馆数据,2024-10-08,A,https://m.chinanews.com/wap/detail/cht/zw/10298972.shtml,国家文物局统计
2024,十一,景区目的地,北京接待游客,2159.64,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,北京市文化和旅游局,国庆假期北京接待游客2159.64万人次,2024-10-08,A,https://www.beijing.gov.cn/ywdt/gzdt/202410/t20241008_3911495.html,同比+18.35%;游客接待量创历史新高
2024,十一,景区目的地,北京旅游总收入,268.85,亿元,亿元,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,官方总量,实际,同比,7,水平值,2026-08-21,,北京市文化和旅游局,国庆假期北京旅游总收入268.85亿元,2024-10-08,A,https://www.beijing.gov.cn/ywdt/gzdt/202410/t20241008_3911495.html,同比+11.67%;创历史新高
2024,十一,景区目的地,四川接待游客,5531.80,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,四川省文化和旅游厅(央视网转引),四川国庆文旅数据,2024-10-08,B,https://news.cctv.cn/2024/10/08/ARTIqbBCWDtfyoykPCRtarZH241008.shtml,890家A级景区3987.31万(+21.21%);17家5A级426.93万(+25.06%)
2024,十一,景区目的地,四川旅游消费,348.37,亿元,亿元,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,官方总量,实际,同比,7,水平值,2026-08-21,,四川省文化和旅游厅(央视网转引),四川国庆文旅数据,2024-10-08,B,https://news.cctv.cn/2024/10/08/ARTIqbBCWDtfyoykPCRtarZH241008.shtml,同比+11.09%
2024,十一,景区目的地,广东接待游客,5848.1,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,广东省文化和旅游厅(中新网转引),广东国庆文旅数据,2024-10-08,B,https://m.chinanews.com/wap/detail/cht/zw/10298972.shtml,旅游收入536.9亿
2024,十一,景区目的地,杭州西湖单日(10/2)客流量,78.79,万人次,人次,2024-10-02,单日,西湖景区单日口径,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,杭州西湖风景名胜区管委会(经济日报转引),西湖国庆客流,2024-10-02,B,https://www.ce.cn/xwzx/gnsz/gdxw/202410/03/t20241003_39158123.shtml,同比+65.59%;10/1为39.73万(+59.24%)
2024,十一,景区目的地,河南接待游客,7991.6,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,河南省文化和旅游厅(央视网转引),河南国庆文旅数据,2024-10-08,B,https://news.cctv.cn/2024/10/08/ARTIqbBCWDtfyoykPCRtarZH241008.shtml,已公布省份中居首;景区前五:万岁山59.67万/清明上河园55.33万
2024,十一,景区目的地,河南旅游收入,565.9,亿元,亿元,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,旅游总花费,官方总量,实际,同比,7,水平值,2026-08-21,,河南省文化和旅游厅(央视网转引),河南国庆文旅数据,2024-10-08,B,https://news.cctv.cn/2024/10/08/ARTIqbBCWDtfyoykPCRtarZH241008.shtml,同比+15.5%
2024,十一,景区目的地,湖南接待游客,3345.61,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,湖南省文化和旅游厅(中新网转引),湖南国庆文旅数据,2024-10-08,B,https://m.chinanews.com/wap/detail/cht/zw/10298972.shtml,游客总花费382.63亿(+14.6%)
2024,十一,景区目的地,福建接待游客,3817.52,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,同比,7,水平值,2026-08-21,,福建省文化和旅游厅(新华报业转引),福建国庆文旅数据,2024-10-08,B,https://www.xhby.net/content/s67051fdae4b019ce565a078b.html,同比+10.5%;旅游总花费315.32亿(+11.3%)
2024,十一,景区目的地,辽宁接待游客,5597.6,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,辽宁省文化和旅游厅(中新网转引),辽宁国庆文旅数据,2024-10-08,B,https://m.chinanews.com/wap/detail/cht/zw/10298972.shtml,旅游综合收入375.5亿(+18.1%)
2024,十一,景区目的地,重庆接待国内游客,2268.35,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方总量,实际,无(水平值),7,水平值,2026-08-21,,重庆市文化和旅游发展委员会(央视网转引),重庆国庆文旅数据,2024-10-07,B,https://news.cctv.cn/2024/10/08/ARTIqbBCWDtfyoykPCRtarZH241008.shtml,游客花费154.02亿(+15.8%);洪崖洞103.1万/磁器口86.5万
2024,十一,消费宏观,1-10月服务零售额增速,6.5,%,增长率,2024-01-01 至 2024-10-31,累计,累计统计口径,商务部社零,官方总量,实际,同比,7,水平值,2026-08-21,,国家统计局/商务部,2024年10月消费市场情况,2024-11,A,https://fdi.mofcom.gov.cn/come-zonghe-con.html?id=46459,累计口径
2024,十一,消费宏观,1-10月社会消费品零售总额,39.90,万亿元,亿元,2024-01-01 至 2024-10-31,累计,累计统计口径,商务部社零,官方总量,实际,同比,7,水平值,2026-08-21,,国家统计局/商务部,2024年10月消费市场情况,2024-11,A,https://fdi.mofcom.gov.cn/come-zonghe-con.html?id=46459,同比+3.5%;年度累计口径
